original_path,output_path,articleurl,status,footer_used
3-day-sankranti-pongal-celebration.html,3-days-of-sankranti-and-pongal-celebration.html,yes,merged,c:\e\a3_output\sankranti.net\output\content\footer.fragment
important-sankranti.html,important-sankrantis.html,yes,merged,c:\e\a3_output\sankranti.net\output\content\footer.fragment
index_recreated.html,index.html,yes,merged,c:\e\a3_output\sankranti.net\output\content\footer.fragment
information.html,information.html,yes,merged,c:\e\a3_output\sankranti.net\output\content\footer.fragment
khichdi-purv.html,khichdi-purv.html,yes,merged,c:\e\a3_output\sankranti.net\output\content\footer.fragment
lohri.html,lohri.html,yes,merged,c:\e\a3_output\sankranti.net\output\content\footer.fragment
magh-bihu.html,magh-bihu.html,yes,merged,c:\e\a3_output\sankranti.net\output\content\footer.fragment
makarsankranti-information.html,makarsankranti-information.html,yes,merged,c:\e\a3_output\sankranti.net\output\content\footer.fragment
pedda-festival.html,what-is-pedda-festival.html,yes,merged,c:\e\a3_output\sankranti.net\output\content\footer.fragment
pongal.html,pongal.html,yes,merged,c:\e\a3_output\sankranti.net\output\content\footer.fragment
receipes.html,receipes.html,yes,merged,c:\e\a3_output\sankranti.net\output\content\footer.fragment
sankranti-names.html,different-names-of-sankranti.html,yes,merged,c:\e\a3_output\sankranti.net\output\content\footer.fragment
sankranti-start-of-spring.html,start-of-spring.html,yes,merged,c:\e\a3_output\sankranti.net\output\content\footer.fragment
sankranti-vs-makarsankranti.html,sankranti-vs-makarsankranti.html,yes,merged,c:\e\a3_output\sankranti.net\output\content\footer.fragment
til-sweets.html,til-sweets.html,yes,merged,c:\e\a3_output\sankranti.net\output\content\footer.fragment
uttarayan.html,what-is-uttarayaana.html,yes,merged,c:\e\a3_output\sankranti.net\output\content\footer.fragment
2026\2026-hindu-calendar.html,2026\index.html,yes,merged,c:\e\a3_output\sankranti.net\output\content\2026\footer.fragment
2026\2026-shradhh-dates.html,2026\2026-shradhh-dates.html,yes,merged,c:\e\a3_output\sankranti.net\output\content\2026\footer.fragment
cards\sankranti-cards.html,cards\index.html,yes,merged,c:\e\a3_output\sankranti.net\output\content\cards\footer.fragment
essay\makarsankranti-essay.html,essay\index.html,yes,merged,c:\e\a3_output\sankranti.net\output\content\essay\footer.fragment
harvest-festivals\bihu-assam-info.html,harvest-festivals\bihu-assam-info.html,yes,merged,c:\e\a3_output\sankranti.net\output\content\harvest-festivals\footer.fragment
